position_id,strategy_id,side,evento,reason_name,t_epoch,precio_real,delta_precio_open,delta_t_open_s,spread_open,spread_close,lado,n_ticks_segundo,hit_exacto_segundo,dentro_rango_segundo,dist_min_segundo,q_min_segundo,q_max_segundo,hit_exacto_segundo_lado_opuesto,q_vigente,hit_exacto_vigente,delta_vigente,spread_tick_vigente,n_ticks_1,hit_exacto_1,dentro_rango_1,dist_min_1,n_ticks_2,hit_exacto_2,dentro_rango_2,dist_min_2,n_ticks_5,hit_exacto_5,dentro_rango_5,dist_min_5,n_ticks_30,hit_exacto_30,dentro_rango_30,dist_min_30
55230389,SAR::S6-K2P0,BUY,CLOSE,SL,1785356813,4074.34,,,0.5,,bid,13,False,True,0.009999999999763531,4074.27,4074.49,False,4074.5,False,-0.15999999999985448,0.5,28,False,True,0.009999999999763531,50,False,True,0.009999999999763531,110,False,True,0.009999999999763531,654,True,True,0.0
55230406,SAR::S6-K2P0,BUY,OPEN,,1785356917,4075.58,0.2300000000000182,1.2300000190734863,0.5,,ask,12,True,True,0.0,4075.54,4075.74,False,4075.52,False,0.05999999999994543,0.5,22,True,True,0.0,39,True,True,0.0,87,True,True,0.0,560,True,True,0.0
55230406,SAR::S6-K2P0,BUY,CLOSE,SL,1785356920,4074.58,,,0.5,,bid,8,False,True,0.03999999999996362,4074.45,4074.86,False,4074.99,False,-0.4099999999998545,0.5,16,False,True,0.03999999999996362,28,False,True,0.03999999999996362,77,False,True,0.01999999999998181,540,True,True,0.0
55230408,SAR::S6-K2P0,BUY,OPEN,,1785356949,4076.18,0.0199999999999818,1.2300000190734863,0.5,,ask,8,True,True,0.0,4076.15,4076.19,False,4076.18,True,0.0,0.5,15,True,True,0.0,29,True,True,0.0,86,True,True,0.0,521,True,True,0.0
55230408,SAR::S6-K2P0,BUY,CLOSE,SL,1785356985,4074.74,,,0.5,,bid,8,False,True,0.07000000000016371,4074.56,4074.87,False,4074.88,False,-0.14000000000032742,0.5,9,False,True,0.07000000000016371,19,True,True,0.0,69,True,True,0.0,452,True,True,0.0
55230412,SAR::S6-K2P0,BUY,OPEN,,1785356996,4075.89,-0.0700000000001637,1.0,0.5,0.5,ask,11,True,True,0.0,4075.48,4075.9,False,4075.9,False,-0.010000000000218279,0.5,17,True,True,0.0,26,True,True,0.0,72,True,True,0.0,444,True,True,0.0
55230412,SAR::S6-K2P0,BUY,CLOSE,EXPERT,1785357012,4075.35,,,0.5,0.5,bid,3,True,True,0.0,4075.35,4075.38,False,4075.39,False,-0.03999999999996362,0.5,14,True,True,0.0,22,True,True,0.0,57,True,True,0.0,436,True,True,0.0
55230950,SAR::S6-K2P0,BUY,OPEN,,1785360610,4082.58,1.4299999999998363,3.440004348754883,0.5,0.5,ask,14,True,True,0.0,4082.57,4082.69,False,4082.53,False,0.04999999999972715,0.5,29,True,True,0.0,54,True,True,0.0,131,True,True,0.0,682,True,True,0.0
55230950,SAR::S6-K2P0,BUY,CLOSE,EXPERT,1785365104,4076.5,,,0.5,0.5,bid,9,True,True,0.0,4076.36,4076.72,False,4076.42,False,0.07999999999992724,0.5,19,True,True,0.0,41,True,True,0.0,81,True,True,0.0,430,True,True,0.0
55231351,SAR::S6-K2P0,SELL,OPEN,,1785365888,4066.49,0.099999999999909,0.0,0.5,,bid,13,True,True,0.0,4066.28,4066.54,False,4066.43,False,0.05999999999994543,0.5,22,True,True,0.0,44,True,True,0.0,116,True,True,0.0,468,True,True,0.0
55231351,SAR::S6-K2P0,SELL,CLOSE,SL,1785380634,4047.63,,,0.5,,ask,21,False,True,0.009999999999763531,4047.18,4047.91,False,4047.5,False,0.13000000000010914,0.5,41,False,True,0.009999999999763531,71,False,True,0.009999999999763531,142,False,True,0.009999999999763531,723,True,True,0.0
55232216,SAR::S6-K2P0,SELL,OPEN,,1785380649,4045.81,-0.4400000000000545,13.220000505447388,0.5,,bid,15,True,True,0.0,4045.71,4046.33,False,4045.75,False,0.05999999999994543,0.5,23,True,True,0.0,48,True,True,0.0,128,True,True,0.0,729,True,True,0.0
55232216,SAR::S6-K2P0,SELL,CLOSE,SL,1785380652,4047.63,,,0.5,,ask,13,False,True,0.05999999999994543,4047.48,4047.9,False,4047.55,False,0.07999999999992724,0.5,26,False,True,0.05999999999994543,55,False,True,0.05999999999994543,128,False,True,0.01999999999998181,734,True,True,0.0
55232219,SAR::S6-K2P0,SELL,OPEN,,1785380665,4046.52,-0.0100000000002182,0.2300000190734863,0.5,,bid,13,True,True,0.0,4046.3,4046.54,False,4046.52,True,0.0,0.5,23,True,True,0.0,53,True,True,0.0,135,True,True,0.0,704,True,True,0.0
55232219,SAR::S6-K2P0,SELL,CLOSE,SL,1785381175,4047.63,,,0.5,,ask,10,True,True,0.0,4047.45,4047.82,False,4047.35,False,0.2800000000002001,0.599999999999909,15,True,True,0.0,34,True,True,0.0,78,True,True,0.0,491,True,True,0.0
55242134,SAR::S6-K2P0,SELL,OPEN,,1785437100,4110.25,7.029999999999745,6286.400060892105,0.5,,bid,2,False,False,0.06000000000040018,4110.31,4110.36,False,4110.25,True,0.0,0.5,3,True,True,0.0,3,True,True,0.0,11,True,True,0.0,86,True,True,0.0
55242134,SAR::S6-K2P0,SELL,CLOSE,SL,1785459978,4083.11,,,0.5,,ask,6,False,True,0.09999999999990905,4082.98,4083.51,False,4082.92,False,0.19000000000005457,0.5,7,False,True,0.09999999999990905,17,False,True,0.09999999999990905,36,False,True,0.09999999999990905,198,False,True,0.010000000000218279
55242135,SuperTrend::SuperTrend-p14x3-M15,BUY,OPEN,,1785437100,4110.86,7.139999999999418,6349.480060577393,0.5,,ask,2,True,True,0.0,4110.81,4110.86,False,4110.75,False,0.10999999999967258,0.5,3,True,True,0.0,3,True,True,0.0,11,True,True,0.0,86,True,True,0.0
55242135,SuperTrend::SuperTrend-p14x3-M15,BUY,CLOSE,SL,1785446066,4089.82,,,0.5,,bid,10,False,True,0.07000000000016371,4089.75,4090.51,False,4090.27,False,-0.4499999999998181,0.5,21,False,True,0.07000000000016371,45,True,True,0.0,93,True,True,0.0,430,True,True,0.0
55243044,SuperTrend::SuperTrend-p14x3-M15,SELL,OPEN,,1785446101,4088.77,-0.0300000000002,0.2300000190734863,0.5,,bid,12,True,True,0.0,4088.77,4089.17,False,4088.81,False,-0.03999999999996362,0.5,20,True,True,0.0,42,True,True,0.0,82,True,True,0.0,430,True,True,0.0
55243044,SuperTrend::SuperTrend-p14x3-M15,SELL,CLOSE,CLIENT_manual,1785473287,4062.9,,,0.5,,ask,5,True,True,0.0,4062.9,4062.96,False,4062.92,False,-0.01999999999998181,0.599999999999909,13,True,True,0.0,15,True,True,0.0,69,True,True,0.0,309,True,True,0.0
55244539,SAR::S6-K2P0,SELL,OPEN,,1785459998,4082.23,-0.0300000000002,1.2300000190734863,0.5,0.5,bid,4,False,True,0.010000000000218279,4082.22,4082.29,False,4082.23,True,0.0,0.5,5,True,True,0.0,13,True,True,0.0,25,True,True,0.0,181,True,True,0.0
55244539,SAR::S6-K2P0,SELL,CLOSE,EXPERT,1785460502,4080.1,,,0.5,0.5,ask,0,False,False,,,,False,4080.1,True,0.0,0.5,7,True,True,0.0,17,True,True,0.0,30,True,True,0.0,127,True,True,0.0
55244610,SAR::S6-K2P0,SELL,OPEN,,1785462313,4075.77,0.0,1.0,0.5,,bid,7,True,True,0.0,4075.77,4075.8,False,4075.8,False,-0.03000000000020009,0.5,13,True,True,0.0,16,True,True,0.0,47,True,True,0.0,266,True,True,0.0
55244610,SAR::S6-K2P0,SELL,CLOSE,SL,1785464190,4083.6,,,0.5,,ask,18,False,True,0.010000000000218279,4083.44,4084.14,False,4083.29,False,0.30999999999994543,0.5,22,False,True,0.010000000000218279,44,False,True,0.010000000000218279,67,False,True,0.010000000000218279,472,False,True,0.010000000000218279
55244860,SAR::S6-K2P0,SELL,OPEN,,1785464621,4082.82,0.0100000000002182,0.2300000190734863,0.5,,bid,7,True,True,0.0,4082.82,4082.91,False,4082.81,False,0.010000000000218279,0.5,13,True,True,0.0,24,True,True,0.0,57,True,True,0.0,331,True,True,0.0
