R1,arm,band,entry_bid,entry_delay_bars,entry_fill,exit_bid,exit_fill,ficha,level_slip,margin1,net1,net1_con_coste,pos_id,reason,same_bar,sid,side,side_l,spread,t_exit,t_in,t_in_exec,t_out
8730521.250000289,relief0.00-u0,0.5,4928.24,0,4928.11,4893.728916409805,4895.63,F1,True,4615175.015,3041751.999999959,3020680.749999959,S6-K2P0|F1|1771293600|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771296762.638,1771293600,1771294500.0,1771296300
8730521.250000289,relief0.00-u0,0.5,4928.24,0,4928.11,4893.728916409805,4895.63,F2,True,4615175.015,3041751.999999959,3020680.749999959,S6-K2P0|F2|1771293600|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771296762.638,1771293600,1771294500.0,1771296300
8730521.250000289,relief0.00-u0,0.5,4928.24,0,4928.11,4893.728916409805,4895.63,F3,True,4615175.015,3041751.999999959,3020680.749999959,S6-K2P0|F3|1771293600|SHORT,EXIT_SL_RAISED,False,S6-K2P0,SHORT,S,0.5,1771296762.638,1771293600,1771294500.0,1771296300
6947893.499999792,relief0.00-u0,0.5,4858.97,0,4858.97,4870.03,4870.53,F1,False,4550425.405,-1082593.9999999523,-1103665.2499999523,S6-K2P0|F1|1771361100|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771363800,1771361100,1771362000.0,1771362900
6947893.499999792,relief0.00-u0,0.5,4858.97,0,4858.97,4870.03,4870.53,F2,False,4550425.405,-1082593.9999999523,-1103665.2499999523,S6-K2P0|F2|1771361100|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771363800,1771361100,1771362000.0,1771362900
6947893.499999792,relief0.00-u0,0.5,4858.97,0,4858.97,4870.03,4870.53,F3,False,4550425.405,-1082593.9999999523,-1103665.2499999523,S6-K2P0|F3|1771361100|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771363800,1771361100,1771362000.0,1771362900
4313050.749999942,relief0.00-u0,0.5,4878.21,0,4878.71,4889.79,4889.79,F1,False,4568911.915,1037641.9999999931,1016570.7499999931,S6-K2P0|F1|1771363800|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771369200,1771363800,1771364700.0,1771368300
4313050.749999942,relief0.00-u0,0.5,4878.21,0,4878.71,4889.79,4889.79,F2,False,4568911.915,1037641.9999999931,1016570.7499999931,S6-K2P0|F2|1771363800|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771369200,1771363800,1771364700.0,1771368300
4313050.749999942,relief0.00-u0,0.5,4878.21,0,4878.71,4889.79,4889.79,F3,False,4568911.915,1037641.9999999931,1016570.7499999931,S6-K2P0|F3|1771363800|LONG,EXIT_TRAIL,True,S6-K2P0,LONG,L,0.5,1771369200,1771363800,1771364700.0,1771368300
2672771.000000082,relief0.00-u0,0.5,4965.11,0,4965.11,4965.57,4966.07,F1,False,4649825.515,-89904.0000000034,-110975.2500000034,S6-K2P0|F1|1771450200|SHORT,EXIT_TRAIL,True,S6-K2P0,SHORT,S,0.5,1771452900,1771450200,1771451100.0,1771452000
